City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Rikitea,PF,76.77,broken clouds,-23.1203,-134.9692,Pension Maro'i
7,Butaritari,KI,82.89,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Dwarka,IN,83.43,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
24,Kefamenanu,ID,78.55,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
38,Marsh Harbour,BS,76.77,clear sky,26.5412,-77.0636,Abaco Beach Resort
48,Cam Ranh,VN,89.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
49,Hithadhoo,MV,82.71,overcast clouds,-0.6,73.0833,Scoop Guest House
56,Barra Dos Coqueiros,BR,78.82,few clouds,-10.9089,-37.0386,Jangadeiro
57,Kapaa,US,81.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
59,Kavieng,PG,85.69,broken clouds,-2.5744,150.7967,Nusa Island Retreat
64,Georgetown,MY,88.9,few clouds,5.4112,100.3354,Cititel Penang
65,Cabo San Lucas,MX,89.51,overcast clouds,22.8909,-109.9124,Tesoro Los Cabos
69,Luganville,VU,78.33,broken clouds,-15.5333,167.1667,The Espiritu Hotel
71,Mayumba,GA,75.88,overcast clouds,-3.432,10.6554,LIKWALE LODGE
75,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
76,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
79,Panaba,MX,76.37,scattered clouds,21.2833,-88.2667,Posada rosario
80,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
82,Pochutla,MX,79.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
84,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
86,Gopalpur,IN,88.45,scattered clouds,19.2667,84.9167,Gopalpur Palm Resort
91,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
93,Ixtapa,MX,79.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
94,Alyangula,AU,84.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
96,Faanui,PF,80.33,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
97,Kudahuvadhoo,MV,83.53,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
98,Kutum,SD,75.58,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
104,Tutoia,BR,77.36,broken clouds,-2.7619,-42.2744,Pousada Guará's
110,Hasaki,JP,79.2,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
114,Zhuhai,CN,89.78,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
116,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
118,Ugoofaaru,MV,83.8,few clouds,5.6667,73.0,Ungoofaaru Inn
119,Bubaque,GW,78.06,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
120,Alofi,NU,82.29,scattered clouds,-19.0595,-169.9187,Taloa Heights
124,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
125,Malakal,SS,79.9,clear sky,9.5334,31.6605,Nile Palace Hotel
127,Port Blair,IN,82.44,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
131,Marawi,PH,79.25,overcast clouds,7.9986,124.2928,Derogongan Residence
133,Sharjah,AE,86.25,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
138,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,The Hamsa Resort
140,Shache,CN,84.0,clear sky,38.4167,77.2406,Delong Hotel
141,Bengkulu,ID,75.25,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
144,Kulhudhuffushi,MV,83.28,few clouds,6.6221,73.07,Haajy Guest House 1
145,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
148,Hami,CN,84.07,overcast clouds,42.8,93.45,Laoyutang Resort
152,Khurda,IN,87.78,clear sky,20.1833,85.6167,Bagbaan Villa
154,Qom,IR,81.59,clear sky,34.6401,50.8764,Qom Hotel
155,Katsuura,JP,77.23,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
160,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Payakumbuh,ID,79.7,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
169,Bac Lieu,VN,87.37,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
179,Kota Belud,MY,87.66,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
183,Nabire,ID,88.5,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
190,Manokwari,ID,83.95,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
193,Ranong,TH,82.33,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
195,Omboue,GA,75.58,overcast clouds,-1.5746,9.2618,Hotel Olako
197,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
201,Dali,CN,76.21,broken clouds,25.7,100.1833,Dali Travelling With Hostel
203,Sibolga,ID,82.67,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
206,Ternate,ID,83.23,few clouds,0.8,127.4,Grand Dafam Bela Ternate
207,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
208,Bull Savanna,JM,75.49,few clouds,17.8868,-77.5902,Big Red's
210,Gigmoto,PH,88.81,few clouds,13.7796,124.39,Cj's Travellers Inn
222,Kalavad,IN,85.6,few clouds,22.2167,70.3833,Hetu Bapu Kadri
223,Yushan,CN,83.95,broken clouds,31.3776,120.9543,Swissotel Kunshan
224,Atuona,PF,79.05,scattered clouds,-9.8,-139.0333,Villa Enata
228,San Patricio,US,80.83,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
234,Acarau,BR,76.96,few clouds,-2.8856,-40.12,castelo pizzaria
244,Tabou,CI,79.7,broken clouds,4.423,-7.3528,hotêl doufoulougou
246,Kirakira,SB,80.62,overcast clouds,-10.4544,161.9205,SanBiz Lodge
249,Silvassa,IN,87.1,overcast clouds,20.2667,73.0167,Wonderland Resort
251,Vaitape,PF,80.31,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
255,Lorengau,PG,85.44,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
259,Dingle,PH,89.67,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
261,Korla,CN,84.29,clear sky,41.7597,86.1469,Gulisitan Hotel
263,Natal,BR,77.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
266,Linguere,SN,75.65,scattered clouds,15.3953,-15.1193,Hôtel Amadou Seck
270,Tual,ID,81.81,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
279,Jardim,BR,76.15,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
283,Tondano,ID,84.29,few clouds,1.3038,124.9112,Villa Bella
286,Teseney,ER,85.48,clear sky,15.11,36.6575,Sabrin Hotel
293,Bonthe,SL,80.04,light rain,7.5264,-12.505,Bonthe Holiday Village
299,Cairns,AU,82.06,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
303,Ewa Beach,US,85.95,few clouds,21.3156,-158.0072,Uncle Junior Robert
307,Santa Isabel,BR,79.56,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
313,Nuqui,CO,75.31,overcast clouds,5.7125,-77.2708,Hotel Nuquimar
315,Point Fortin,TT,79.02,clear sky,10.1833,-61.6833,Jus Les' Suites
324,Port Lavaca,US,81.05,clear sky,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
325,Sorong,ID,83.82,few clouds,-0.8833,131.25,waigo splash hotel
326,Atambua,ID,82.53,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
328,Yining,CN,80.11,overcast clouds,29.0361,114.5636,Xiushui Hotel
329,Balikpapan,ID,83.39,scattered clouds,-1.2675,116.8289,ibis Balikpapan
337,Manaure,CO,80.47,overcast clouds,11.7751,-72.4445,Hotel Palaaima
338,Makakilo City,US,84.52,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
346,Acapulco,MX,82.42,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
350,Pandan,PH,88.05,scattered clouds,14.0453,124.1694,Bonifacio Lodge
355,Houma,US,80.01,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
357,Sao Miguel Do Araguaia,BR,75.43,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
358,Hede,CN,85.44,light rain,33.7681,120.2517,Vienna 3 Best Hotel Sheyang Jiefang Rd
359,Carutapera,BR,75.36,broken clouds,-1.195,-46.02,Lidera
363,Naifaru,MV,83.66,scattered clouds,5.4444,73.3657,Naifaru Residence Guest House
364,Hilo,US,81.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
366,Ilhabela,BR,75.43,broken clouds,-23.7781,-45.3581,Ilha Flat Hotel
367,Buala,SB,79.29,light rain,-8.145,159.5921,Maringe Lagoon Lodge
379,Muisne,EC,76.39,overcast clouds,0.6,-80.0333,Quinta Samay
381,Ahuimanu,US,85.71,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
382,Namatanai,PG,83.23,overcast clouds,-3.6667,152.4333,Namatanai Hotel
387,Komsomolskiy,UZ,81.82,clear sky,40.4272,71.7189,Ikathouse
389,Riyadh,SA,86.05,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
390,Sinnamary,GF,75.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
392,Asyut,EG,77.18,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
396,Sabang,ID,83.98,overcast clouds,5.8933,95.3214,Hotel Citra
398,Tura,IN,81.36,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
399,Muscat,OM,84.22,clear sky,23.6139,58.5922,Mutrah Hotel
400,Araguacu,BR,75.58,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
401,Amahai,ID,81.81,broken clouds,-3.3333,128.9167,HOTEL ISABELA
405,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
406,Trincomalee,LK,84.83,overcast clouds,8.5711,81.2335,Welcombe Hotel
407,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
408,Arlit,NE,84.7,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
409,Labuan,MY,84.36,scattered clouds,5.2767,115.2417,Tiara Labuan Hotel
410,Coahuayana,MX,75.87,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
411,Pocone,BR,76.71,broken clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
415,Jalu,LY,81.59,scattered clouds,29.0331,21.5482,صاحبة الفخامة
419,Las Mercedes,VE,77.77,overcast clouds,9.1102,-66.3972,Hotel Sol y Llano
420,Malindi,KE,76.91,scattered clouds,-3.2175,40.1191,African House Resort
425,Puerto Escondido,MX,84.07,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
430,Auki,SB,80.33,moderate rain,-8.7676,160.7034,Auki Motel
435,Karratha,AU,82.9,broken clouds,-20.7377,116.8463,ibis Styles Karratha
438,Gouyave,GD,77.77,few clouds,12.1646,-61.7296,Rumboat Retreat
445,Wewak,PG,84.6,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
451,Esperanza,DO,77.58,overcast clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
452,Akdepe,TM,82.4,clear sky,42.0551,59.3788,Мой дом
454,Boyolangu,ID,83.95,overcast clouds,-8.1181,111.8935,Yos ega cv
455,Jibuti,DJ,81.82,clear sky,11.5,42.5,Orchid Main Camp Goubet
459,San Ignacio,BZ,78.94,clear sky,17.1561,-89.0714,Rainforest Haven Inn
460,Kavaratti,IN,83.8,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
461,Isangel,VU,75.16,broken clouds,-19.55,169.2667,Tanna Lodge
464,Conceicao Do Araguaia,BR,77.13,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
469,Havelock,US,77.23,clear sky,34.8791,-76.9013,Sherwood Motel
471,Bartica,GY,77.32,light rain,6.4,-58.6167,Relax Inn Hotel
472,Jensen Beach,US,79.0,clear sky,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
473,Hobyo,SO,78.15,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
474,Catuday,PH,86.27,clear sky,16.2923,119.8062,GResort
476,Tamandare,BR,76.32,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
482,Bida,NG,77.32,overcast clouds,9.0833,6.0167,Royal Suite
483,Pasighat,IN,84.61,overcast clouds,28.0667,95.3333,Siang Guest House
486,Varkkallai,IN,80.38,scattered clouds,8.7341,76.7067,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
488,Kontagora,NG,79.09,scattered clouds,10.3999,5.4695,Queens Guest Inn
491,Bandarbeyla,SO,79.99,overcast clouds,9.4942,50.8122,JABIR HOTEL
495,Bogalusa,US,75.69,clear sky,30.791,-89.8487,Traveler's Rest Motel
502,Guanare,VE,75.22,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
510,Aloleng,PH,88.0,clear sky,16.1307,119.7824,Agno Umbrella Rocks
525,Aldama,MX,82.99,scattered clouds,22.9167,-98.0667,CASA CANYE
528,Puerto Armuelles,PA,81.82,overcast clouds,8.2833,-82.8667,Big Daddy's Beach Club & Hotel
530,Harper,LR,79.75,overcast clouds,4.375,-7.7169,Screensaver
532,Sena Madureira,BR,76.24,broken clouds,-9.0656,-68.6569,Hotel Central
534,Jieshi,CN,86.38,overcast clouds,22.8134,115.8257,Yuehai Hotel
535,Alugan,PH,85.17,scattered clouds,12.2188,125.4808,JM Lodge
538,Sola,VU,77.52,broken clouds,-13.8833,167.55,Leumerus Bungalows
540,Kandi,BJ,83.5,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
542,Robertsport,LR,81.18,light rain,6.7533,-11.3686,Kwepunha Retreat
554,San Policarpo,PH,84.6,scattered clouds,12.1791,125.5072,JM Lodge
562,Daru,PG,80.35,overcast clouds,-9.0763,143.2092,Daru Lodge
564,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
566,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
568,Nhulunbuy,AU,83.01,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
569,Yadgir,IN,86.25,broken clouds,16.7667,77.1333,Hotel SLV yadgir
574,Moerai,PF,77.16,light rain,-22.4333,-151.3333,Le Manotel
579,Safaga,EG,80.55,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
583,Wenling,CN,78.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
589,High Rock,BS,77.02,clear sky,26.6208,-78.2833,Hideaway Bahamas Beach Club
591,Ojinaga,MX,88.75,clear sky,29.5667,-104.4167,Suites Las Palmas
593,Fundacion,CO,82.06,overcast clouds,10.5207,-74.185,ITN Fundación Magdalena
598,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
606,Oranjestad,AW,80.91,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
608,Mangrol,IN,85.48,few clouds,21.1167,70.1167,Hotel The Royal Honours
609,Huilong,CN,81.99,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
611,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
616,Kalmunai,LK,83.55,overcast clouds,7.4167,81.8167,VS Villa
617,Fare,PF,80.64,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
623,Cedar City,US,77.97,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
625,Mogadishu,SO,78.17,overcast clouds,2.0371,45.3438,Hotel Juba
628,Sabha,LY,85.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
630,Jacmel,HT,82.24,scattered clouds,18.2342,-72.5347,Hotel Florita
631,Olinda,BR,78.53,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
634,Meadow Lake,US,78.28,clear sky,34.8014,-106.5436,JKL Inc. R.V Park and Storage
635,Warri,NG,77.58,overcast clouds,5.5167,5.75,BON Hotel Delta
636,Buchanan,LR,76.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
637,Sulangan,PH,84.61,scattered clouds,11.1373,123.7228,Maia's Beach Resort
643,Kualakapuas,ID,86.72,few clouds,-3.0091,114.3876,Guest House Izonk
645,Mahibadhoo,MV,83.55,broken clouds,3.7833,72.9667,Omadhoo Inn
646,Alizai,PK,85.84,clear sky,33.5383,70.3462,Alizai Rest House
649,Salaga,GH,78.03,broken clouds,8.5508,-0.5188,Bore Nada Guest House
652,Ratnagiri,IN,85.17,overcast clouds,16.9833,73.3,Hotel Landmark
656,Jackson,US,80.47,clear sky,42.4165,-122.8345,Agate Village Apartments
659,Zhangye,CN,79.84,scattered clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
663,Longyan,CN,83.26,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
677,Belmonte,BR,79.3,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
679,Atar,MR,85.96,broken clouds,20.5169,-13.0499,Oumou Elghoura
680,Samarai,PG,77.94,broken clouds,-10.6167,150.6667,Nuli Sapi
685,Koratagere,IN,75.07,overcast clouds,13.5228,77.2331,Post matric boys hostel
686,Simao,CN,81.91,scattered clouds,22.7886,100.9748,Changyu Hotel
687,Rio Bravo,MX,82.08,few clouds,25.9833,-98.1,Villa Santa Cecilia
694,Yuci,CN,83.95,clear sky,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
701,Muncar,ID,85.12,overcast clouds,-8.4333,114.3333,Zaky Homestay
704,Pennadam,IN,89.38,broken clouds,11.4,79.2333,Muthu Home Lodge A/C
709,Dhola,IN,87.82,scattered clouds,21.8833,71.7833,નિલેશ
711,Bandar-E Lengeh,IR,84.31,clear sky,26.5579,54.8807,کافی نت پارس
716,Port-Gentil,GA,78.3,overcast clouds,-0.7193,8.7815,Fengshui Residence
718,Enshi,CN,77.68,overcast clouds,30.3,109.4833,Moevenpick Enshi
